ZIPCODE,FREQUENCY
46802,2
77064,2
42701,2
70560,2
55802,2
55805,2
54812,2
43227,2
49107,2
90810,2
30281,2
33132,2
55337,2
61362,2
60549,2
54943,2
62305,2
99508,2
53114,2
34691,2
53120,2
46380,2
44132,2
53716,2
92646,2
29488,2
70529,2
60531,2
49509,2
28269,2
30228,2
63146,2
73160,2
29102,2
33570,2
60533,2
46220,2
33137,2
6053,2
33182,2
53185,2
78201,2
98373,2
61319,2
68502,2
49024,2
61239,2
94605,2
48836,2
95051,2
10038,2
77573,2
53226,2
85138,2
33311,2
6017,2
77090,2
55330,2
60507,2
92620,2
72104,2
85298,2
93722,2
7087,2
62930,2
62040,2
89101,2
53182,2
46803,2
48235,2
40216,2
34142,2
60686,2
55107,2
43612,2
15236,2
53121,2
49091,2
68111,2
46774,2
10037,2
60665,2
32091,2
63108,2
61038,2
38118,2
55429,2
53012,2
62294,2
60708,2
12946,2
30062,2
45237,2
33027,2
95959,2
54603,2
92111,2
27406,2
53538,2
78249,2
46561,2
19139,2
87121,2
30106,2
62298,2
27405,2
48120,2
44212,2
27516,2
92840,2
77036,2
57702,2
11735,2
48080,2
32539,2
94509,2
45315,2
34758,2
53110,2
19350,2
7728,1
1701,1
16142,1
40014,1
39575,1
99353,1
76549,1
60182,1
55410,1
45804,1
74331,1
39347,1
76001,1
20601,1
68154,1
30052,1
77407,1
52358,1
83703,1
63126,1
89145,1
11218,1
17067,1
2000034516,1
98134,1
50035,1
97227,1
61033,1
85324,1
98186,1
91763,1
16504,1
56367-7501,1
70506,1
56368,1
53228,1
54306,1
78611,1
88401,1
7306,1
80525,1
32724,1
33579,1
92130,1
30314,1
20755,1
77091,1
46558,1
75227,1
92792,1
94703,1
43660,1
94709,1
95031,1
92630,1
89129,1
16125,1
73119-0000,1
32940,1
48202,1
64151,1
71534,1
47995,1
83001,1
66210,1
23225,1
61520,1
23233,1
71671,1
42721,1
75501,1
68105,1
36532,1
7424,1
29581,1
48067,1
78717,1
94044,1
2770,1
83455,1
49072,1
44870,1
52632,1
95355,1
54404,1
30045,1
74066,1
10466,1
11106,1
14208,1
72205,1
69057,1
46040,1
45327,1
49093-8526,1
54029,1
74075,1
92264,1
90731,1
30333,1
40741,1
20854,1
60179,1
36869,1
99206,1
10031,1
21230,1
53936,1
10112,1
52748,1
77076,1
19320,1
6460,1
851423,1
93245,1
20009-2626,1
89135,1
91803,1
95831,1
92124,1
35473,1
96080,1
57373,1
10458,1
53010,1
48911-2352,1
63026,1
48160,1
11207,1
38836,1
60620312,1
25701,1
60290,1
22553,1
48138,1
75070,1
79413,1
94025,1
70119,1
60981,1
33179,1
50093,1
47725,1
65807,1
98057-2327,1
50317,1
60807,1
35235,1
2124,1
28326,1
90008,1
32926,1
80911,1
67547,1
62467,1
32408,1
63016,1
80121,1
75056,1
60767,1
55122,1
45807,1
44110,1
36603,1
47567,1
54401,1
93720,1
61769,1
48211-1838,1
65202,1
48127,1
27514,1
21045,1
54245,1
39756,1
75219,1
60911,1
89048,1
46376,1
39056,1
77807,1
60942,1
47974,1
49938,1
74801,1
28208,1
75146,1
33610,1
83843,1
30752-5464,1
33777,1
91762,1
51031,1
19138,1
61944,1
60539,1
63117,1
35981-3341,1
72227-5641,1
58801,1
20019,1
70435,1
46357,1
5136,1
6061,1
47138,1
80516,1
33967,1
34772,1
97544,1
60253,1
40291,1
20852,1
14266,1
76036,1
24014,1
36345,1
54306-2545,1
55415,1
60679,1
93108,1
30542,1
46346,1
10965,1
90250,1
60494,1
67209,1
76092,1
45036,1
7302,1
90265,1
46815,1
62870,1
33908,1
33993,1
62806,1
1524,1
33990,1
85281,1
1364,1
83714,1
60032,1
8540,1
6084,1
79903,1
74103,1
43701,1
27513,1
10306,1
47834,1
63101,1
75807,1
30338,1
45458,1
13208,1
80234,1
65015,1
83651,1
33609,1
32256,1
48504-3005,1
60059,1
7724,1
74834,1
92530,1
61048,1
47119,1
33487,1
90503,1
19020,1
94612,1
48602,1
40222,1
2130,1
94110,1
32024,1
89052-1548,1
32609,1
49451,1
49082,1
47403,1
77099,1
87120,1
48230,1
80526,1
96720,1
49265,1
56560,1
51579,1
78207,1
93440,1
53598,1
60655-1804,1
45084,1
43452,1
3650025296,1
73072,1
15765,1
37932,1
49031,1
39202,1
53955,1
10456,1
75212,1
89120,1
46933,1
60236,1
2066,1
63021,1
62914,1
85206-3768,1
62863,1
606052,1
30533,1
45152,1
91776,1
90270,1
61570,1
98108,1
80231,1
30092,1
22033,1
43694,1
94114,1
48304,1
98569,1
94515,1
43620,1
37205,1
91701,1
6032,1
77084,1
98548-9668,1
60823,1
5733,1
83687,1
49030,1
38053-2301,1
51443,1
27909,1
91303,1
606028,1
49060,1
66739,1
27812,1
72360,1
45414,1
60802,1
33055,1
7503,1
853,1
60845,1
30707,1
30276,1
29067,1
38109,1
50311,1
27834,1
33169,1
63138,1
10009,1
34952,1
87821,1
35756,1
61728,1
53177,1
1035,1
85716,1
51012,1
46733,1
67235,1
66112,1
80108,1
35073,1
6840,1
49221,1
30721,1
85004,1
33165,1
78250,1
49130,1
85630,1
52347,1
80126,1
84124,1
93401,1
7111,1
46364,1
2602,1
75901,1
14904,1
77014,1
47037,1
22134,1
49344,1
52060,1
21030,1
8827,1
91745,1
74065,1
92808,1
77028,1
92274,1
98466,1
90001,1
33605,1
6095,1
53821,1
83145,1
90004,1
91325,1
68240,1
1622,1
78735,1
56120,1
91311,1
49269,1
18446,1
39063,1
27801,1
75044,1
31404,1
30265,1
27858,1
6883,1
48439,1
98075,1
7090,1
27511,1
78251,1
24531,1
53551,1
54166,1
14526,1
96825,1
98031,1
68138,1
64157,1
38115,1
2021,1
60642-7662,1
97266,1
75218,1
40508,1
68526,1
73758,1
50676,1
60830,1
95301,1
68184,1
38104,1
10520,1
33305,1
34984,1
60698,1
60117,1
6854,1
64468,1
33484,1
60520,1
85374,1
47715,1
57783,1
77303,1
4647,1
34202,1
58256,1
61370,1
42086,1
72853,1
90806,1
75762,1
10952,1
38901,1
46013,1
4101,1
33702,1
21075,1
72824,1
48875,1
49022-5548,1
19148,1
24277-0428,1
66221,1
34285,1
19130,1
60913,1
74105,1
92376,1
48093,1
38401,1
62812,1
55305-3836,1
34145,1
77833,1
33433,1
37212,1
92805,1
33054-3436,1
6878,1
64137,1
39553,1
87109,1
77345,1
23234,1
28311,1
19114,1
33772-5922,1
29631,1
30156,1
32507,1
80951,1
30022,1
53129,1
70811,1
33810,1
606021,1
66286,1
38619,1
29036,1
17264,1
98496,1
48912,1
19067,1
52406,1
62956,1
33919,1
52227,1
54630,1
39652,1
8069,1
98226,1
97210,1
30265-1892,1
1930,1
77016,1
19330,1
97401,1
55952,1
19805,1
77008,1
80915,1
33408,1
23608,1
35401,1
38732,1
08723-7921,1
27041,1
77068,1
28390,1
49401,1
15701,1
91932,1
92612,1
45308,1
7607,1
80021,1
62558,1
84047,1
55101-1403,1
33947,1
35950,1
85607,1
77479-5461,1
98859,1
29405,1
11238,1
60474,1
76210,1
45249,1
54968,1
52356,1
46818,1
64110,1
30120,1
11213,1
79922,1
58401,1
55071,1
63590,1
60139-3458,1
95616,1
23322,1
802,1
17019,1
91016,1
49425,1
31063,1
59463,1
70403,1
49201,1
33715,1
15215,1
70812,1
35051,1
38024,1
89436,1
61559,1
85086,1
42461,1
40688,1
51568,1
46913,1
37027,1
91361,1
29687,1
2467,1
48159,1
10603,1
44077,1
16146,1
62281,1
606446,1
35672,1
54618,1
30122,1
606513,1
48060,1
19053,1
6057,1
78736-3629,1
60935,1
26858,1
68157,1
62545,1
6004,1
3512,1
48118,1
50677,1
49546,1
72450,1
85262,1
98223,1
45424,1
476,1
15205,1
98233,1
77384,1
38114,1
65251,1
11720,1
80221,1
33404,1
54985,1
80907,1
91042,1
93536,1
80910,1
84098,1
56347,1
53040,1
62275,1
64055,1
64116,1
28159,1
93036,1
92841,1
15222,1
28348,1
30269,1
7028,1
76106,1
28806,1
78573,1
54648,1
49089,1
95148,1
10580,1
29209,1
49448,1
7045,1
77088,1
91711,1
78537,1
33161-0000,1
31201,1
54531,1
38017-9332,1
43460,1
44011,1
73013,1
19607,1
32139,1
49067,1
46131,1
88130,1
45174,1
19116,1
60808,1
50864,1
76119,1
28205,1
17404,1
70819,1
62627,1
14204,1
7642,1
80550,1
27603,1
65219,1
33166,1
98144-5108,1
CB8 OBB,1
33173,1
4086,1
33009,1
33606,1
40059,1
77489,1
63106,1
45209,1
92249,1
12020,1
12019,1
21409,1
49418-2852,1
98685,1
60550,1
19090,1
75862,1
34769,1
45213,1
80112,1
11520,1
98597,1
60770,1
53172,1
45214,1
80626,1
39206,1
80215,1
33156,1
76067,1
79904,1
92603,1
33037,1
60208,1
40324,1
73119,1
63390,1
82072,1
35150,1
20817,1
72078,1
6063629,1
54235,1
85344,1
78223,1
39577,1
38771,1
75007,1
3894,1
50638,1
